
List of user-set options:

                                    Name   Value                used
                         acceptable_iter = 15                    yes
                          acceptable_tol = 1e-05                 yes
                        file_print_level = 5                     yes
                   hessian_approximation = limited-memory        yes
                           linear_solver = mumps                 yes
                                max_iter = 3000                  yes
                      nlp_scaling_method = user-scaling          yes
                             output_file = /Users/alfiyandyhr/Github_Repos/atomics/atomics/examples/case_2_hyperelastic_cantilever_beam/run_hyperelastic_cantilever_beam_out/IPOPT.out  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                      sb = yes                   yes
                                     tol = 1e-06                 yes
This is Ipopt version 3.14.19, running with linear solver MUMPS 5.7.3.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:     3600
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     3600
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     3600
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 854  1.3904515e+00 0.00e+00 1.55e-03 -11.0 1.55e-03    -  1.00e+00 5.96e-03f  1
 855  1.3902112e+00 0.00e+00 1.56e-03 -11.0 1.55e-03    -  1.00e+00 7.64e-01f  1
 856  1.3902108e+00 0.00e+00 1.56e-03 -11.0 1.56e-03    -  1.00e+00 1.28e-03f  1
 857  1.3901646e+00 0.00e+00 1.56e-03 -11.0 1.56e-03    -  1.00e+00 1.47e-01f  1
 858  1.3901599e+00 0.00e+00 1.56e-03 -11.0 1.56e-03    -  1.00e+00 1.50e-02f  1
 859  1.3900548e+00 0.00e+00 1.57e-03 -11.0 1.56e-03    -  1.00e+00 3.34e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 860  1.3900531e+00 0.00e+00 1.57e-03 -11.0 1.57e-03    -  1.00e+00 5.61e-03f  1
 861  1.3897379e+00 0.00e+00 1.59e-03 -11.0 1.57e-03    -  1.00e+00 1.00e+00f  1
 862  1.3896283e+00 0.00e+00 1.59e-03 -11.0 1.59e-03    -  1.00e+00 3.46e-01f  1
 863  1.3896281e+00 0.00e+00 1.59e-03 -11.0 1.59e-03    -  1.00e+00 5.97e-04f  1
 864  1.3893621e+00 0.00e+00 1.61e-03 -11.0 1.59e-03    -  1.00e+00 8.44e-01f  1
 865  1.3893617e+00 0.00e+00 1.61e-03 -11.0 1.61e-03    -  1.00e+00 1.43e-03f  1
 866  1.3891654e+00 0.00e+00 1.62e-03 -11.0 1.61e-03    -  1.00e+00 6.22e-01f  1
 867  1.3891651e+00 0.00e+00 1.62e-03 -11.0 1.62e-03    -  1.00e+00 1.09e-03f  1
 868  1.3888492e+00 0.00e+00 1.64e-03 -11.0 1.62e-03    -  1.00e+00 1.00e+00f  1
 869  1.3888384e+00 0.00e+00 1.64e-03 -11.0 1.64e-03    -  1.00e+00 3.41e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 870  1.3888382e+00 0.00e+00 1.64e-03 -11.0 1.64e-03    -  1.00e+00 5.54e-04f  1
 871  1.3885233e+00 0.00e+00 1.66e-03 -11.0 1.64e-03    -  1.00e+00 1.00e+00f  1
 872  1.3885067e+00 0.00e+00 1.66e-03 -11.0 1.66e-03    -  1.00e+00 5.26e-02f  1
 873  1.3885052e+00 0.00e+00 1.66e-03 -11.0 1.66e-03    -  1.00e+00 4.47e-03f  1
 874  1.3882830e+00 0.00e+00 1.68e-03 -11.0 1.66e-03    -  1.00e+00 7.03e-01f  1
 875  1.3882826e+00 0.00e+00 1.68e-03 -11.0 1.68e-03    -  1.00e+00 1.20e-03f  1
 876  1.3882195e+00 0.00e+00 1.68e-03 -11.0 1.68e-03    -  1.00e+00 2.01e-01f  1
 877  1.3882193e+00 0.00e+00 1.65e-03 -11.0 1.65e-03    -  1.00e+00 8.69e-04f  1
 878  1.3881532e+00 0.00e+00 1.66e-03 -11.0 1.65e-03    -  1.00e+00 2.12e-01f  1
 879  1.3881502e+00 0.00e+00 1.66e-03 -11.0 1.66e-03    -  1.00e+00 9.42e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 880  1.3880891e+00 0.00e+00 1.66e-03 -11.0 1.66e-03    -  1.00e+00 1.96e-01f  1
 881  1.3880872e+00 0.00e+00 1.66e-03 -11.0 1.66e-03    -  1.00e+00 6.20e-03f  1
 882  1.3879764e+00 0.00e+00 1.67e-03 -11.0 1.66e-03    -  1.00e+00 3.58e-01f  1
 883  1.3879752e+00 0.00e+00 1.67e-03 -11.0 1.67e-03    -  1.00e+00 3.94e-03f  1
 884  1.3877575e+00 0.00e+00 1.68e-03 -11.0 1.67e-03    -  1.00e+00 7.04e-01f  1
 885  1.3877570e+00 0.00e+00 1.68e-03 -11.0 1.68e-03    -  1.00e+00 1.80e-03f  1
 886  1.3875292e+00 0.00e+00 1.69e-03 -11.0 1.68e-03    -  1.00e+00 7.35e-01f  1
 887  1.3875286e+00 0.00e+00 1.69e-03 -11.0 1.69e-03    -  1.00e+00 1.68e-03f  1
 888  1.3875054e+00 0.00e+00 1.69e-03 -11.0 1.69e-03    -  1.00e+00 7.49e-02f  1
 889  1.3875039e+00 0.00e+00 1.69e-03 -11.0 1.69e-03    -  1.00e+00 4.88e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 890  1.3874254e+00 0.00e+00 1.69e-03 -11.0 1.69e-03    -  1.00e+00 2.54e-01f  1
 891  1.3874236e+00 0.00e+00 1.69e-03 -11.0 1.69e-03    -  1.00e+00 5.83e-03f  1
 892  1.3873590e+00 0.00e+00 1.69e-03 -11.0 1.68e-03    -  1.00e+00 2.10e-01f  1
 893  1.3873574e+00 0.00e+00 1.61e-03 -11.0 1.61e-03    -  1.00e+00 4.96e-03f  1
 894  1.3871789e+00 0.00e+00 1.61e-03 -11.0 1.61e-03    -  1.00e+00 5.85e-01f  1
 895  1.3871786e+00 0.00e+00 1.61e-03 -11.0 1.61e-03    -  1.00e+00 1.08e-03f  1
 896  1.3871375e+00 0.00e+00 1.61e-03 -11.0 1.61e-03    -  1.00e+00 1.35e-01f  1
 897  1.3871360e+00 0.00e+00 1.61e-03 -11.0 1.61e-03    -  1.00e+00 4.93e-03f  1
 898  1.3869148e+00 0.00e+00 1.62e-03 -11.0 1.61e-03    -  1.00e+00 7.32e-01f  1
 899  1.3869143e+00 0.00e+00 1.62e-03 -11.0 1.62e-03    -  1.00e+00 1.36e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 900  1.3866116e+00 0.00e+00 1.64e-03 -11.0 1.62e-03    -  1.00e+00 1.00e+00f  1
 901  1.3863693e+00 0.00e+00 1.65e-03 -11.0 1.64e-03    -  1.00e+00 7.97e-01f  1
 902  1.3863689e+00 0.00e+00 1.65e-03 -11.0 1.65e-03    -  1.00e+00 1.29e-03f  1
 903  1.3860664e+00 0.00e+00 1.66e-03 -11.0 1.65e-03    -  1.00e+00 1.00e+00f  1
 904  1.3860125e+00 0.00e+00 1.66e-03 -11.0 1.66e-03    -  1.00e+00 1.78e-01f  1
 905  1.3860123e+00 0.00e+00 1.66e-03 -11.0 1.66e-03    -  1.00e+00 6.38e-04f  1
 906  1.3859598e+00 0.00e+00 1.67e-03 -11.0 1.66e-03    -  1.00e+00 1.73e-01f  1
 907  1.3859594e+00 0.00e+00 1.67e-03 -11.0 1.67e-03    -  1.00e+00 1.60e-03f  1
 908  1.3857937e+00 0.00e+00 1.67e-03 -11.0 1.67e-03    -  1.00e+00 5.50e-01f  1
 909  1.3857934e+00 0.00e+00 1.67e-03 -11.0 1.67e-03    -  1.00e+00 1.07e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 910  1.3857154e+00 0.00e+00 1.68e-03 -11.0 1.67e-03    -  1.00e+00 2.60e-01f  1
 911  1.3857151e+00 0.00e+00 1.54e-03 -11.0 1.54e-03    -  1.00e+00 9.33e-04f  1
 912  1.3855785e+00 0.00e+00 1.55e-03 -11.0 1.54e-03    -  1.00e+00 4.60e-01f  1
 913  1.3855778e+00 0.00e+00 1.55e-03 -11.0 1.55e-03    -  1.00e+00 2.19e-03f  1
 914  1.3852805e+00 0.00e+00 1.56e-03 -11.0 1.55e-03    -  1.00e+00 1.00e+00f  1
 915  1.3850069e+00 0.00e+00 1.57e-03 -11.0 1.56e-03    -  1.00e+00 9.17e-01f  1
 916  1.3850064e+00 0.00e+00 1.57e-03 -11.0 1.57e-03    -  1.00e+00 1.46e-03f  1
 917  1.3849602e+00 0.00e+00 1.57e-03 -11.0 1.57e-03    -  1.00e+00 1.55e-01f  1
 918  1.3849595e+00 0.00e+00 1.57e-03 -11.0 1.57e-03    -  1.00e+00 2.32e-03f  1
 919  1.3849231e+00 0.00e+00 1.57e-03 -11.0 1.57e-03    -  1.00e+00 1.22e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 920  1.3848554e+00 0.00e+00 1.58e-03 -11.0 1.57e-03    -  1.00e+00 2.27e-01f  1
 921  1.3848165e+00 0.00e+00 1.58e-03 -11.0 1.58e-03    -  1.00e+00 1.31e-01f  1
 922  1.3847970e+00 0.00e+00 1.58e-03 -11.0 1.58e-03    -  1.00e+00 6.54e-02f  1
 923  1.3847081e+00 0.00e+00 1.58e-03 -11.0 1.58e-03    -  1.00e+00 2.98e-01f  1
 924  1.3847018e+00 0.00e+00 1.58e-03 -11.0 1.58e-03    -  1.00e+00 2.12e-02f  1
 925  1.3846787e+00 0.00e+00 1.58e-03 -11.0 1.58e-03    -  1.00e+00 7.76e-02f  1
 926  1.3843810e+00 0.00e+00 1.59e-03 -11.0 1.58e-03    -  1.00e+00 1.00e+00f  1
 927  1.3840821e+00 0.00e+00 1.61e-03 -11.0 1.59e-03    -  1.00e+00 1.00e+00f  1
 928  1.3837821e+00 0.00e+00 1.62e-03 -11.0 1.61e-03    -  1.00e+00 1.00e+00f  1
 929  1.3836733e+00 0.00e+00 1.63e-03 -11.0 1.62e-03    -  1.00e+00 3.61e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 930  1.3836731e+00 0.00e+00 1.63e-03 -11.0 1.63e-03    -  1.00e+00 7.01e-04f  1
 931  1.3835437e+00 0.00e+00 1.63e-03 -11.0 1.63e-03    -  1.00e+00 4.30e-01f  1
 932  1.3835434e+00 0.00e+00 1.63e-03 -11.0 1.63e-03    -  1.00e+00 1.25e-03f  1
 933  1.3834057e+00 0.00e+00 1.64e-03 -11.0 1.63e-03    -  1.00e+00 4.57e-01f  1
 934  1.3834055e+00 0.00e+00 1.64e-03 -11.0 1.64e-03    -  1.00e+00 8.51e-04f  1
 935  1.3832709e+00 0.00e+00 1.65e-03 -11.0 1.64e-03    -  1.00e+00 4.50e-01f  1
 936  1.3832707e+00 0.00e+00 1.52e-03 -11.0 1.52e-03    -  1.00e+00 8.46e-04f  1
 937  1.3830310e+00 0.00e+00 1.52e-03 -11.0 1.52e-03    -  1.00e+00 8.07e-01f  1
 938  1.3830305e+00 0.00e+00 1.52e-03 -11.0 1.52e-03    -  1.00e+00 1.47e-03f  1
 939  1.3829523e+00 0.00e+00 1.52e-03 -11.0 1.52e-03    -  1.00e+00 2.63e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 940  1.3829521e+00 0.00e+00 1.52e-03 -11.0 1.52e-03    -  1.00e+00 8.11e-04f  1
 941  1.3829429e+00 0.00e+00 1.52e-03 -11.0 1.52e-03    -  1.00e+00 3.09e-02f  1
 942  1.3828169e+00 0.00e+00 1.52e-03 -11.0 1.52e-03    -  1.00e+00 4.29e-01f  1
 943  1.3826879e+00 0.00e+00 1.53e-03 -11.0 1.52e-03    -  1.00e+00 4.38e-01f  1
 944  1.3826876e+00 0.00e+00 1.53e-03 -11.0 1.53e-03    -  1.00e+00 1.03e-03f  1
 945  1.3824896e+00 0.00e+00 1.53e-03 -11.0 1.53e-03    -  1.00e+00 6.73e-01f  1
 946  1.3824892e+00 0.00e+00 1.53e-03 -11.0 1.53e-03    -  1.00e+00 1.40e-03f  1
 947  1.3824653e+00 0.00e+00 1.53e-03 -11.0 1.53e-03    -  1.00e+00 8.12e-02f  1
 948  1.3824568e+00 0.00e+00 1.53e-03 -11.0 1.53e-03    -  1.00e+00 2.89e-02f  1
 949  1.3822317e+00 0.00e+00 1.53e-03 -11.0 1.53e-03    -  1.00e+00 7.65e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 950  1.3822313e+00 0.00e+00 1.54e-03 -11.0 1.53e-03    -  1.00e+00 1.31e-03f  1
 951  1.3819368e+00 0.00e+00 1.54e-03 -11.0 1.53e-03    -  1.00e+00 1.00e+00f  1
 952  1.3818889e+00 0.00e+00 1.54e-03 -11.0 1.54e-03    -  1.00e+00 1.62e-01f  1
 953  1.3818888e+00 0.00e+00 1.52e-03 -11.0 1.52e-03    -  1.00e+00 3.42e-04f  1
 954  1.3816177e+00 0.00e+00 1.53e-03 -11.0 1.52e-03    -  1.00e+00 9.24e-01f  1
 955  1.3816172e+00 0.00e+00 1.53e-03 -11.0 1.53e-03    -  1.00e+00 1.54e-03f  1
 956  1.3813626e+00 0.00e+00 1.54e-03 -11.0 1.53e-03    -  1.00e+00 8.66e-01f  1
 957  1.3813621e+00 0.00e+00 1.54e-03 -11.0 1.54e-03    -  1.00e+00 1.66e-03f  1
 958  1.3812923e+00 0.00e+00 1.54e-03 -11.0 1.54e-03    -  1.00e+00 2.37e-01f  1
 959  1.3812917e+00 0.00e+00 1.54e-03 -11.0 1.54e-03    -  1.00e+00 1.97e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 960  1.3809971e+00 0.00e+00 1.55e-03 -11.0 1.54e-03    -  1.00e+00 1.00e+00f  1
 961  1.3809333e+00 0.00e+00 1.56e-03 -11.0 1.55e-03    -  1.00e+00 2.16e-01f  1
 962  1.3809331e+00 0.00e+00 1.56e-03 -11.0 1.56e-03    -  1.00e+00 7.94e-04f  1
 963  1.3806375e+00 0.00e+00 1.57e-03 -11.0 1.56e-03    -  1.00e+00 1.00e+00f  1
 964  1.3804620e+00 0.00e+00 1.57e-03 -11.0 1.57e-03    -  1.00e+00 5.91e-01f  1
 965  1.3804617e+00 0.00e+00 1.57e-03 -11.0 1.57e-03    -  1.00e+00 9.91e-04f  1
 966  1.3801963e+00 0.00e+00 1.59e-03 -11.0 1.58e-03    -  1.00e+00 8.94e-01f  1
 967  1.3801959e+00 0.00e+00 1.59e-03 -11.0 1.59e-03    -  1.00e+00 1.43e-03f  1
 968  1.3801625e+00 0.00e+00 1.59e-03 -11.0 1.59e-03    -  1.00e+00 1.13e-01f  1
 969  1.3801619e+00 0.00e+00 1.59e-03 -11.0 1.59e-03    -  1.00e+00 1.97e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 970  1.3800055e+00 0.00e+00 1.60e-03 -11.0 1.59e-03    -  1.00e+00 5.32e-01f  1
 971  1.3800053e+00 0.00e+00 1.44e-03 -11.0 1.44e-03    -  1.00e+00 9.65e-04f  1
 972  1.3799762e+00 0.00e+00 1.44e-03 -11.0 1.44e-03    -  1.00e+00 9.93e-02f  1
 973  1.3799724e+00 0.00e+00 1.44e-03 -11.0 1.44e-03    -  1.00e+00 1.32e-02f  1
 974  1.3796815e+00 0.00e+00 1.45e-03 -11.0 1.44e-03    -  1.00e+00 1.00e+00f  1
 975  1.3793895e+00 0.00e+00 1.45e-03 -11.0 1.45e-03    -  1.00e+00 1.00e+00f  1
 976  1.3793467e+00 0.00e+00 1.45e-03 -11.0 1.45e-03    -  1.00e+00 1.46e-01f  1
 977  1.3793423e+00 0.00e+00 1.45e-03 -11.0 1.45e-03    -  1.00e+00 1.49e-02f  1
 978  1.3792471e+00 0.00e+00 1.45e-03 -11.0 1.45e-03    -  1.00e+00 3.25e-01f  1
 979  1.3792467e+00 0.00e+00 1.45e-03 -11.0 1.45e-03    -  1.00e+00 1.28e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 980  1.3791809e+00 0.00e+00 1.46e-03 -11.0 1.45e-03    -  1.00e+00 2.25e-01f  1
 981  1.3791789e+00 0.00e+00 1.46e-03 -11.0 1.46e-03    -  1.00e+00 6.97e-03f  1
 982  1.3791586e+00 0.00e+00 1.46e-03 -11.0 1.46e-03    -  1.00e+00 6.97e-02f  1
 983  1.3789003e+00 0.00e+00 1.47e-03 -11.0 1.46e-03    -  1.00e+00 8.88e-01f  1
 984  1.3788997e+00 0.00e+00 1.47e-03 -11.0 1.47e-03    -  1.00e+00 2.13e-03f  1
 985  1.3786313e+00 0.00e+00 1.50e-03 -11.0 1.47e-03    -  1.00e+00 9.20e-01f  1
 986  1.3786309e+00 0.00e+00 1.50e-03 -11.0 1.50e-03    -  1.00e+00 1.39e-03f  1
 987  1.3784949e+00 0.00e+00 1.52e-03 -11.0 1.50e-03    -  1.00e+00 4.67e-01f  1
 988  1.3784947e+00 0.00e+00 1.47e-03 -11.0 1.47e-03    -  1.00e+00 7.61e-04f  1
 989  1.3784513e+00 0.00e+00 1.48e-03 -11.0 1.47e-03    -  1.00e+00 1.50e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 990  1.3784491e+00 0.00e+00 1.48e-03 -11.0 1.48e-03    -  1.00e+00 7.55e-03f  1
 991  1.3781599e+00 0.00e+00 1.49e-03 -11.0 1.48e-03    -  1.00e+00 1.00e+00f  1
 992  1.3781077e+00 0.00e+00 1.50e-03 -11.0 1.49e-03    -  1.00e+00 1.80e-01f  1
 993  1.3781072e+00 0.00e+00 1.50e-03 -11.0 1.50e-03    -  1.00e+00 1.89e-03f  1
 994  1.3780402e+00 0.00e+00 1.50e-03 -11.0 1.50e-03    -  1.00e+00 2.31e-01f  1
 995  1.3780397e+00 0.00e+00 1.50e-03 -11.0 1.50e-03    -  1.00e+00 1.56e-03f  1
 996  1.3779763e+00 0.00e+00 1.50e-03 -11.0 1.50e-03    -  1.00e+00 2.19e-01f  1
 997  1.3779755e+00 0.00e+00 1.47e-03 -11.0 1.47e-03    -  1.00e+00 2.81e-03f  1
 998  1.3778191e+00 0.00e+00 1.47e-03 -11.0 1.47e-03    -  1.00e+00 5.45e-01f  1
 999  1.3778188e+00 0.00e+00 1.47e-03 -11.0 1.47e-03    -  1.00e+00 1.23e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
1000  1.3776107e+00 0.00e+00 1.48e-03 -11.0 1.47e-03    -  1.00e+00 7.26e-01f  1
1001  1.3776102e+00 0.00e+00 1.48e-03 -11.0 1.48e-03    -  1.00e+00 1.56e-03f  1
1002  1.3773924e+00 0.00e+00 1.48e-03 -11.0 1.48e-03    -  1.00e+00 7.58e-01f  1
1003  1.3773919e+00 0.00e+00 1.48e-03 -11.0 1.48e-03    -  1.00e+00 1.68e-03f  1
1004  1.3771478e+00 0.00e+00 1.49e-03 -11.0 1.48e-03    -  1.00e+00 8.48e-01f  1
1005  1.3771474e+00 0.00e+00 1.49e-03 -11.0 1.49e-03    -  1.00e+00 1.35e-03f  1
1006  1.3768592e+00 0.00e+00 1.49e-03 -11.0 1.49e-03    -  1.00e+00 1.00e+00f  1
1007  1.3765699e+00 0.00e+00 1.50e-03 -11.0 1.49e-03    -  1.00e+00 1.00e+00f  1
1008  1.3765587e+00 0.00e+00 1.50e-03 -11.0 1.50e-03    -  1.00e+00 3.85e-02f  1
1009  1.3765579e+00 0.00e+00 1.50e-03 -11.0 1.50e-03    -  1.00e+00 2.78e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
1010  1.3764493e+00 0.00e+00 1.51e-03 -11.0 1.50e-03    -  1.00e+00 3.75e-01f  1
1011  1.3764491e+00 0.00e+00 1.51e-03 -11.0 1.51e-03    -  1.00e+00 7.98e-04f  1
1012  1.3761607e+00 0.00e+00 1.52e-03 -11.0 1.51e-03    -  1.00e+00 1.00e+00f  1
1013  1.3759057e+00 0.00e+00 1.53e-03 -11.0 1.52e-03    -  1.00e+00 8.81e-01f  1
1014  1.3759053e+00 0.00e+00 1.51e-03 -11.0 1.51e-03    -  1.00e+00 1.34e-03f  1
1015  1.3756173e+00 0.00e+00 1.51e-03 -11.0 1.50e-03    -  1.00e+00 1.00e+00f  1
1016  1.3753283e+00 0.00e+00 1.51e-03 -11.0 1.51e-03    -  1.00e+00 1.00e+00f  1
1017  1.3752376e+00 0.00e+00 1.51e-03 -11.0 1.51e-03    -  1.00e+00 3.13e-01f  1
1018  1.3752374e+00 0.00e+00 1.51e-03 -11.0 1.51e-03    -  1.00e+00 6.10e-04f  1
1019  1.3749476e+00 0.00e+00 1.53e-03 -11.0 1.51e-03    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
1020  1.3749439e+00 0.00e+00 1.53e-03 -11.0 1.53e-03    -  1.00e+00 1.25e-02f  1
1021  1.3749390e+00 0.00e+00 1.53e-03 -11.0 1.53e-03    -  1.00e+00 1.70e-02f  1
1022  1.3746731e+00 0.00e+00 1.54e-03 -11.0 1.53e-03    -  1.00e+00 9.16e-01f  1
1023  1.3746726e+00 0.00e+00 1.53e-03 -11.0 1.53e-03    -  1.00e+00 1.41e-03f  1
1024  1.3745766e+00 0.00e+00 1.53e-03 -11.0 1.53e-03    -  1.00e+00 3.32e-01f  1
1025  1.3745764e+00 0.00e+00 1.53e-03 -11.0 1.53e-03    -  1.00e+00 6.60e-04f  1
1026  1.3742893e+00 0.00e+00 1.55e-03 -11.0 1.53e-03    -  1.00e+00 1.00e+00f  1
1027  1.3740455e+00 0.00e+00 1.56e-03 -11.0 1.55e-03    -  1.00e+00 8.46e-01f  1
1028  1.3740451e+00 0.00e+00 1.56e-03 -11.0 1.56e-03    -  1.00e+00 1.45e-03f  1
1029  1.3740082e+00 0.00e+00 1.56e-03 -11.0 1.56e-03    -  1.00e+00 1.28e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
1030  1.3740075e+00 0.00e+00 1.56e-03 -11.0 1.56e-03    -  1.00e+00 2.46e-03f  1
1031  1.3738690e+00 0.00e+00 1.56e-03 -11.0 1.56e-03    -  1.00e+00 4.81e-01f  1
1032  1.3738688e+00 0.00e+00 1.54e-03 -11.0 1.54e-03    -  1.00e+00 9.06e-04f  1
1033  1.3735826e+00 0.00e+00 1.54e-03 -11.0 1.54e-03    -  1.00e+00 1.00e+00f  1
1034  1.3734924e+00 0.00e+00 1.54e-03 -11.0 1.54e-03    -  1.00e+00 3.14e-01f  1
1035  1.3734923e+00 0.00e+00 1.54e-03 -11.0 1.54e-03    -  1.00e+00 5.39e-04f  1
1036  1.3734151e+00 0.00e+00 1.54e-03 -11.0 1.54e-03    -  1.00e+00 2.70e-01f  1
1037  1.3734149e+00 0.00e+00 1.50e-03 -11.0 1.50e-03    -  1.00e+00 7.29e-04f  1
1038  1.3731313e+00 0.00e+00 1.51e-03 -11.0 1.50e-03    -  1.00e+00 1.00e+00f  1
1039  1.3729540e+00 0.00e+00 1.52e-03 -11.0 1.51e-03    -  1.00e+00 6.23e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
1040  1.3729537e+00 0.00e+00 1.52e-03 -11.0 1.52e-03    -  1.00e+00 1.04e-03f  1
1041  1.3727681e+00 0.00e+00 1.52e-03 -11.0 1.52e-03    -  1.00e+00 6.52e-01f  1
1042  1.3727678e+00 0.00e+00 1.52e-03 -11.0 1.52e-03    -  1.00e+00 1.03e-03f  1
1043  1.3727507e+00 0.00e+00 1.53e-03 -11.0 1.52e-03    -  1.00e+00 6.04e-02f  1
1044  1.3725483e+00 0.00e+00 1.53e-03 -11.0 1.53e-03    -  1.00e+00 7.13e-01f  1
1045  1.3725480e+00 0.00e+00 1.53e-03 -11.0 1.53e-03    -  1.00e+00 1.15e-03f  1
1046  1.3725226e+00 0.00e+00 1.53e-03 -11.0 1.53e-03    -  1.00e+00 8.99e-02f  1
1047  1.3725211e+00 0.00e+00 1.53e-03 -11.0 1.53e-03    -  1.00e+00 5.10e-03f  1
1048  1.3723596e+00 0.00e+00 1.54e-03 -11.0 1.53e-03    -  1.00e+00 5.74e-01f  1
1049  1.3723592e+00 0.00e+00 1.54e-03 -11.0 1.54e-03    -  1.00e+00 1.64e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
1050  1.3721861e+00 0.00e+00 1.55e-03 -11.0 1.54e-03    -  1.00e+00 6.15e-01f  1
1051  1.3721858e+00 0.00e+00 1.46e-03 -11.0 1.46e-03    -  1.00e+00 9.97e-04f  1
1052  1.3721057e+00 0.00e+00 1.44e-03 -11.0 1.44e-03    -  1.00e+00 2.86e-01f  1
1053  1.3721054e+00 0.00e+00 1.44e-03 -11.0 1.44e-03    -  1.00e+00 1.36e-03f  1
1054  1.3719384e+00 0.00e+00 1.44e-03 -11.0 1.44e-03    -  1.00e+00 5.98e-01f  1
1055  1.3719377e+00 0.00e+00 1.44e-03 -11.0 1.44e-03    -  1.00e+00 2.71e-03f  1
1056  1.3719039e+00 0.00e+00 1.44e-03 -11.0 1.44e-03    -  1.00e+00 1.21e-01f  1
1057  1.3719026e+00 0.00e+00 1.44e-03 -11.0 1.44e-03    -  1.00e+00 4.44e-03f  1
1058  1.3718281e+00 0.00e+00 1.44e-03 -11.0 1.44e-03    -  1.00e+00 2.68e-01f  1
1059  1.3718202e+00 0.00e+00 1.44e-03 -11.0 1.44e-03    -  1.00e+00 2.84e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
1060  1.3717867e+00 0.00e+00 1.44e-03 -11.0 1.44e-03    -  1.00e+00 1.20e-01f  1
1061  1.3717789e+00 0.00e+00 1.44e-03 -11.0 1.44e-03    -  1.00e+00 2.83e-02f  1
1062  1.3716224e+00 0.00e+00 1.45e-03 -11.0 1.44e-03    -  1.00e+00 5.67e-01f  1
1063  1.3716210e+00 0.00e+00 1.45e-03 -11.0 1.45e-03    -  1.00e+00 4.79e-03f  1
1064  1.3714696e+00 0.00e+00 1.45e-03 -11.0 1.45e-03    -  1.00e+00 5.47e-01f  1
1065  1.3714693e+00 0.00e+00 1.45e-03 -11.0 1.45e-03    -  1.00e+00 1.22e-03f  1
1066  1.3713788e+00 0.00e+00 1.46e-03 -11.0 1.45e-03    -  1.00e+00 3.27e-01f  1
1067  1.3713785e+00 0.00e+00 1.46e-03 -11.0 1.46e-03    -  1.00e+00 1.22e-03f  1
1068  1.3712963e+00 0.00e+00 1.46e-03 -11.0 1.46e-03    -  1.00e+00 2.97e-01f  1
1069  1.3712934e+00 0.00e+00 1.46e-03 -11.0 1.46e-03    -  1.00e+00 1.07e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
